전용면적(㎡),계약년월,거래금액(만원),건축년도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,거래유형,평수
73.4675,202301,11900.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22391875
59.3575,202301,8000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95564375
84.98,202301,19800.0,2007.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70645
84.9562,202301,17400.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.699250499999998
84.9369,202301,28000.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.693412249999998
68.7256,202301,26000.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.789493999999998
30.273,202301,3850.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1575825
78.64,202301,28150.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7886
78.88,202301,24500.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23.861199999999997
47.01,202301,4950.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.220524999999999
73.93,202301,7000.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.363825000000002
59.02,202301,3460.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.853550000000002
39.08,202301,6400.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.8217
60.0,202301,9200.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15
60.0,202301,9000.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.15
39.08,202301,5700.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8217
60.0,202301,9500.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15
39.08,202301,6000.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8217
39.08,202301,6250.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8217
39.08,202301,6000.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8217
